,date_open,price_open,type,date_close,price_close
0,2022-03-30 15:14:00,4611.28,sell,2022-03-30 15:27:00,4610.28
1,2022-03-30 15:36:00,4616.86,buy,2022-03-30 15:44:00,4614.59
2,2022-03-30 15:49:00,4610.96,sell,2022-03-30 15:56:00,4613.44
3,2022-03-30 16:20:00,4617.78,buy,2022-03-30 16:36:00,4619.57
4,2022-03-30 16:38:00,4615.27,sell,2022-03-30 16:48:00,4619.86
5,2022-03-30 16:49:00,4621.46,buy,2022-03-30 17:06:00,4620.72
6,2022-03-30 17:08:00,4619.76,sell,2022-03-30 17:14:00,4624.86
7,2022-03-30 17:21:00,4619.71,sell,2022-03-30 17:36:00,4619.88
8,2022-03-30 17:40:00,4618.86,buy,2022-03-30 17:52:00,4620.18
9,2022-03-30 17:58:00,4615.13,sell,2022-03-30 18:13:00,4607.55
10,2022-03-30 18:19:00,4610.65,buy,2022-03-30 18:25:00,4608.1
11,2022-03-30 18:36:00,4611.02,buy,2022-03-30 18:53:00,4609.76
12,2022-03-30 19:02:00,4616.62,buy,2022-03-30 19:07:00,4608.22
13,2022-03-30 20:07:00,4609.9,sell,2022-03-30 20:14:00,4612.47
14,2022-03-30 20:23:00,4607.62,sell,2022-03-30 20:33:00,4607.48
15,2022-03-30 21:05:00,4606.15,buy,2022-03-30 21:16:00,4604.07
16,2022-03-30 21:19:00,4603.24,sell,2022-03-30 21:30:00,4603.32
17,2022-03-30 21:43:00,4599.65,sell,2022-03-30 21:55:00,4599.69
18,2022-03-30 22:20:00,4586.44,sell,2022-03-30 22:27:00,4587.98
19,2022-03-31 03:13:00,4609.65,buy,2022-03-31 03:48:00,4616.5
20,2022-03-31 10:17:00,4615.82,buy,2022-03-31 10:29:00,4615.12
21,2022-03-31 15:37:00,4600.94,sell,2022-03-31 15:58:00,4602.92
22,2022-03-31 16:13:00,4598.32,sell,2022-03-31 16:24:00,4600.0
23,2022-03-31 16:32:00,4594.61,sell,2022-03-31 16:40:00,4592.38
24,2022-03-31 16:50:00,4596.32,buy,2022-03-31 17:00:00,4585.88
25,2022-03-31 17:24:00,4583.82,sell,2022-03-31 17:29:00,4587.57
26,2022-03-31 17:34:00,4593.62,buy,2022-03-31 17:41:00,4589.45
27,2022-03-31 17:46:00,4599.26,buy,2022-03-31 18:03:00,4596.55
28,2022-03-31 18:07:00,4596.55,sell,2022-03-31 18:22:00,4596.35
29,2022-03-31 18:41:00,4596.97,buy,2022-03-31 18:48:00,4593.07
30,2022-03-31 19:08:00,4591.0,sell,2022-03-31 19:29:00,4585.51
31,2022-03-31 20:31:00,4586.45,buy,2022-03-31 20:36:00,4583.41
32,2022-03-31 20:52:00,4589.25,buy,2022-03-31 20:57:00,4586.61
33,2022-03-31 21:00:00,4582.02,sell,2022-03-31 21:13:00,4578.5
34,2022-03-31 22:00:00,4585.58,buy,2022-03-31 22:05:00,4583.72
35,2022-03-31 22:15:00,4580.36,sell,2022-03-31 22:30:00,4570.36
36,2022-03-31 22:32:00,4565.83,sell,2022-03-31 22:48:00,4561.25
37,2022-03-31 23:10:00,4542.37,buy,2022-03-31 23:22:00,4543.83
38,2022-03-31 23:24:00,4542.1,sell,2022-03-31 23:32:00,4543.77
39,2022-04-01 09:22:00,4549.8,buy,2022-04-01 09:30:00,4549.54
40,2022-04-01 10:23:00,4555.11,buy,2022-04-01 10:27:00,4553.13
41,2022-04-01 10:31:00,4549.13,sell,2022-04-01 10:40:00,4549.63
42,2022-04-01 12:32:00,4558.22,buy,2022-04-01 12:45:00,4555.95
43,2022-04-01 15:32:00,4551.07,sell,2022-04-01 15:38:00,4552.77
44,2022-04-01 16:34:00,4541.57,sell,2022-04-01 16:48:00,4543.74
45,2022-04-01 16:51:00,4536.24,sell,2022-04-01 17:01:00,4536.08
46,2022-04-01 17:03:00,4530.54,sell,2022-04-01 17:10:00,4537.15
47,2022-04-01 17:34:00,4530.49,buy,2022-04-01 17:40:00,4527.57
48,2022-04-01 17:46:00,4532.26,buy,2022-04-01 17:59:00,4535.57
49,2022-04-01 18:13:00,4533.8,sell,2022-04-01 18:21:00,4537.69
50,2022-04-01 18:30:00,4529.83,sell,2022-04-01 18:47:00,4523.56
51,2022-04-01 18:54:00,4525.59,buy,2022-04-01 18:56:00,4519.55
52,2022-04-01 19:07:00,4513.37,sell,2022-04-01 19:10:00,4514.92
53,2022-04-01 19:33:00,4512.37,sell,2022-04-01 19:42:00,4515.26
54,2022-04-01 19:44:00,4518.27,buy,2022-04-01 19:52:00,4514.53
55,2022-04-01 20:11:00,4509.88,sell,2022-04-01 20:23:00,4512.37
56,2022-04-01 20:37:00,4518.38,buy,2022-04-01 20:45:00,4520.39
57,2022-04-01 21:03:00,4526.01,buy,2022-04-01 21:10:00,4527.96
58,2022-04-01 21:17:00,4532.51,buy,2022-04-01 21:37:00,4536.06
59,2022-04-01 22:02:00,4539.77,buy,2022-04-01 22:11:00,4531.51
60,2022-04-01 22:33:00,4520.98,sell,2022-04-01 22:40:00,4526.6
61,2022-04-01 22:42:00,4521.69,buy,2022-04-01 22:44:00,4521.59
62,2022-04-04 10:07:00,4545.8,sell,2022-04-04 10:18:00,4539.69
63,2022-04-04 11:44:00,4538.65,sell,2022-04-04 11:52:00,4541.47
64,2022-04-04 12:06:00,4547.32,buy,2022-04-04 12:17:00,4551.06
65,2022-04-04 15:48:00,4546.25,sell,2022-04-04 15:52:00,4547.91
66,2022-04-04 16:31:00,4543.53,sell,2022-04-04 16:36:00,4543.4
67,2022-04-04 16:50:00,4553.19,buy,2022-04-04 17:11:00,4561.78
68,2022-04-04 17:15:00,4555.93,sell,2022-04-04 17:21:00,4557.4
69,2022-04-04 17:44:00,4558.3,sell,2022-04-04 17:48:00,4562.92
70,2022-04-04 18:02:00,4564.96,buy,2022-04-04 18:12:00,4563.99
71,2022-04-04 19:41:00,4567.42,sell,2022-04-04 19:50:00,4567.51
72,2022-04-04 21:08:00,4567.94,sell,2022-04-04 21:17:00,4570.44
73,2022-04-04 22:50:00,4581.16,buy,2022-04-04 22:55:00,4578.61
74,2022-04-04 22:59:00,4584.22,buy,2022-04-04 23:47:00,4584.44
75,2022-04-05 10:04:00,4581.38,buy,2022-04-05 10:06:00,4578.86
76,2022-04-05 10:37:00,4588.47,buy,2022-04-05 10:46:00,4588.24
77,2022-04-05 16:31:00,4577.5,buy,2022-04-05 16:48:00,4583.33
78,2022-04-05 16:53:00,4580.03,sell,2022-04-05 16:56:00,4583.07
79,2022-04-05 17:00:00,4586.91,buy,2022-04-05 17:05:00,4579.71
80,2022-04-05 17:38:00,4554.59,sell,2022-04-05 17:46:00,4560.2
81,2022-04-05 17:47:00,4560.25,buy,2022-04-05 17:59:00,4566.1
82,2022-04-05 18:10:00,4559.53,sell,2022-04-05 18:12:00,4563.78
83,2022-04-05 18:34:00,4564.83,buy,2022-04-05 18:36:00,4558.61
84,2022-04-05 18:59:00,4550.55,sell,2022-04-05 19:05:00,4552.29
85,2022-04-05 19:10:00,4552.94,buy,2022-04-05 19:15:00,4550.14
86,2022-04-05 19:19:00,4545.85,sell,2022-04-05 19:32:00,4544.09
87,2022-04-05 19:53:00,4549.96,buy,2022-04-05 20:01:00,4548.84
88,2022-04-05 20:08:00,4556.14,buy,2022-04-05 20:24:00,4558.82
89,2022-04-05 20:36:00,4552.03,sell,2022-04-05 20:56:00,4544.33
90,2022-04-05 21:20:00,4547.8,buy,2022-04-05 21:28:00,4546.07
91,2022-04-05 21:32:00,4542.68,sell,2022-04-05 21:42:00,4543.66
92,2022-04-05 21:59:00,4540.27,sell,2022-04-05 22:17:00,4530.57
93,2022-04-05 22:24:00,4533.74,buy,2022-04-05 22:30:00,4526.26
94,2022-04-05 22:47:00,4517.85,sell,2022-04-05 22:51:00,4521.37
95,2022-04-06 10:32:00,4520.8,sell,2022-04-06 10:42:00,4513.02
96,2022-04-06 11:21:00,4502.92,sell,2022-04-06 11:27:00,4506.56
97,2022-04-06 11:50:00,4509.36,buy,2022-04-06 12:04:00,4508.67
98,2022-04-06 12:59:00,4501.25,buy,2022-04-06 13:09:00,4500.75
99,2022-04-06 13:16:00,4495.79,sell,2022-04-06 13:24:00,4496.35
100,2022-04-06 16:32:00,4479.71,sell,2022-04-06 16:54:00,4472.82
101,2022-04-06 17:01:00,4466.04,sell,2022-04-06 17:14:00,4465.11
102,2022-04-06 17:16:00,4469.86,buy,2022-04-06 17:26:00,4468.01
103,2022-04-06 17:29:00,4464.24,sell,2022-04-06 17:35:00,4467.62
104,2022-04-06 17:42:00,4470.54,buy,2022-04-06 17:52:00,4468.06
105,2022-04-06 17:54:00,4466.74,sell,2022-04-06 18:03:00,4464.7
106,2022-04-06 18:13:00,4463.47,sell,2022-04-06 18:22:00,4468.26
107,2022-04-06 18:23:00,4470.45,buy,2022-04-06 18:32:00,4464.46
108,2022-04-06 18:48:00,4474.43,buy,2022-04-06 18:57:00,4472.48
109,2022-04-06 19:14:00,4466.96,sell,2022-04-06 19:23:00,4463.82
110,2022-04-06 20:24:00,4472.95,buy,2022-04-06 20:46:00,4478.79
111,2022-04-06 20:58:00,4477.11,sell,2022-04-06 21:00:00,4480.39
112,2022-04-06 22:15:00,4497.25,buy,2022-04-06 22:17:00,4487.6
113,2022-04-06 22:37:00,4479.32,buy,2022-04-06 22:52:00,4485.77
114,2022-04-07 02:37:00,4472.98,sell,2022-04-07 03:02:00,4466.0
115,2022-04-07 04:45:00,4474.16,buy,2022-04-07 04:49:00,4472.16
116,2022-04-07 09:09:00,4469.23,buy,2022-04-07 09:20:00,4471.7
117,2022-04-07 10:15:00,4483.91,buy,2022-04-07 10:19:00,4482.68
118,2022-04-07 10:26:00,4487.42,buy,2022-04-07 10:30:00,4482.51
119,2022-04-07 10:57:00,4476.94,sell,2022-04-07 11:06:00,4478.94
120,2022-04-07 11:10:00,4481.5,buy,2022-04-07 11:14:00,4477.52
121,2022-04-07 11:47:00,4482.0,buy,2022-04-07 12:04:00,4486.31
122,2022-04-07 14:08:00,4498.6,buy,2022-04-07 14:09:00,4489.07
123,2022-04-07 15:05:00,4481.91,sell,2022-04-07 15:19:00,4480.05
124,2022-04-07 15:55:00,4471.66,sell,2022-04-07 16:01:00,4473.64
125,2022-04-07 16:05:00,4467.33,sell,2022-04-07 16:17:00,4470.81
126,2022-04-07 16:34:00,4476.94,buy,2022-04-07 16:44:00,4478.84
127,2022-04-07 17:01:00,4488.33,buy,2022-04-07 17:05:00,4477.98
128,2022-04-07 17:20:00,4472.01,sell,2022-04-07 17:25:00,4475.51
129,2022-04-07 17:35:00,4478.43,buy,2022-04-07 17:39:00,4471.69
130,2022-04-07 17:54:00,4466.79,sell,2022-04-07 17:55:00,4468.89
131,2022-04-07 18:01:00,4474.1,buy,2022-04-07 18:07:00,4466.9
132,2022-04-07 18:28:00,4460.42,sell,2022-04-07 18:38:00,4459.38
133,2022-04-07 18:53:00,4455.84,sell,2022-04-07 19:02:00,4459.8
134,2022-04-07 19:10:00,4465.87,buy,2022-04-07 19:16:00,4461.13
135,2022-04-07 19:19:00,4459.19,sell,2022-04-07 19:22:00,4460.36
136,2022-04-07 19:49:00,4450.13,sell,2022-04-07 19:51:00,4454.96
137,2022-04-07 20:03:00,4462.56,buy,2022-04-07 20:24:00,4474.64
138,2022-04-07 20:31:00,4480.59,buy,2022-04-07 20:39:00,4475.64
139,2022-04-07 20:55:00,4481.98,buy,2022-04-07 21:06:00,4486.46
140,2022-04-07 21:18:00,4483.82,sell,2022-04-07 21:25:00,4491.47
141,2022-04-07 21:48:00,4494.74,buy,2022-04-07 22:07:00,4510.61
142,2022-04-07 22:12:00,4517.21,buy,2022-04-07 22:19:00,4513.21
143,2022-04-07 22:20:00,4511.08,sell,2022-04-07 22:31:00,4511.44
144,2022-04-07 22:33:00,4513.38,buy,2022-04-07 22:42:00,4513.6
145,2022-04-07 22:46:00,4520.27,buy,2022-04-07 22:49:00,4513.47
146,2022-04-08 03:32:00,4497.49,sell,2022-04-08 03:39:00,4497.96
147,2022-04-08 10:06:00,4506.72,sell,2022-04-08 10:10:00,4512.29
148,2022-04-08 10:14:00,4512.76,buy,2022-04-08 10:16:00,4509.67
149,2022-04-08 10:38:00,4516.55,buy,2022-04-08 10:47:00,4514.16
150,2022-04-08 16:03:00,4497.19,sell,2022-04-08 16:16:00,4496.4
151,2022-04-08 16:33:00,4486.47,sell,2022-04-08 16:47:00,4482.02
152,2022-04-08 16:52:00,4475.42,sell,2022-04-08 17:01:00,4479.14
